Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
valZombieBrute,entityclasses,Entity,New,Zombie Brute,,,,,
valZombieBruteBoss,entityclasses,Entity,New,Zombie Brute Boss,,,,,
badZombieAiden_Rager,entityclasses,Entity,New,Rager Aiden,,,,,
badZombieBob_Rager,entityclasses,Entity,New,Rager Bob,,,,,
badZombieCaitlin_Rager,entityclasses,Entity,New,Rager Caitlin,,,,,
badZombieCallie_Rager,entityclasses,Entity,New,Rager Callie,,,,,
badZombieChang_Rager,entityclasses,Entity,New,Rager Chang,,,,,
badZombieCharlotte_Rager,entityclasses,Entity,New,Rager Charlotte,,,,,
badZombieClint_Rager,entityclasses,Entity,New,Rager Clint,,,,,
badZombieEmma_Rager,entityclasses,Entity,New,Rager Emma,,,,,
badZombieGabrielle_Rager,entityclasses,Entity,New,Rager Gabe,,,,,
badZombieGrace_Rager,entityclasses,Entity,New,Rager Grace,,,,,
badZombieHank_Rager,entityclasses,Entity,New,Rager Hank,,,,,
badZombieHelen_Rager,entityclasses,Entity,New,Rager Helen,,,,,
badZombieHugh_Rager,entityclasses,Entity,New,Rager Hugh,,,,,
badZombieJack_Rager,entityclasses,Entity,New,Rager Jack,,,,,
badZombieJeff_Rager,entityclasses,Entity,New,Rager Jeff,,,,,
badZombieJimmy_Rager,entityclasses,Entity,New,Rager Jimmy,,,,,
badZombieJoel_Rager,entityclasses,Entity,New,Rager Joel,,,,,
badZombieMaria_Rager,entityclasses,Entity,New,Rager Maria,,,,,
badZombieMercura_Rager,entityclasses,Entity,New,Rager Mercura,,,,,
badZombieMiguel_Rager,entityclasses,Entity,New,Rager Migel,,,,,
badZombieOfficeGirl_Rager,entityclasses,Entity,New,Rager Office Lady,,,,,
badZombieRayah_Rager,entityclasses,Entity,New,Rager Rayah,,,,,
badZombieRekt_Rager,entityclasses,Entity,New,Rager Rekt,,,,,
badZombieVince_Rager,entityclasses,Entity,New,Rager Vince,,,,,
badZombieWillie_Rager,entityclasses,Entity,New,Rager Willie,,,,,
badZombieBaby_Rager,entityclasses,Entity,New,Rager Baby,,,,,
valZombieClarice_Rager,entityclasses,Entity,New,Rager Clarice,,,,,
valZombieJane_Rager,entityclasses,Entity,New,Rager Jane,,,,,
valZombieLibrarian_Rager,entityclasses,Entity,New,Rager Librarian,,,,,
valZombieSurvivorFemale_Rager,entityclasses,Entity,New,Rager Survivor,,,,,
valZombieVoodooFemale_Rager,entityclasses,Entity,New,Rager Voodoo Lady,,,,,
valZombieVoodooMale_Rager,entityclasses,Entity,New,Rager Voodoo Man,,,,,
valZombieDan_Rager,entityclasses,Entity,New,Rager Dan,,,,,
valZombieSurvivorMale_Rager,entityclasses,Entity,New,Rager Survivor,,,,,
valZombieKenny_Rager,entityclasses,Entity,New,Rager Kenny,,,,,
valZombieRavager_Rager,entityclasses,Entity,New,Rager Ravager,,,,,
valZombieNerd_Rager,entityclasses,Entity,New,Rager Nerd,,,,,
valZombieInmate_Rager,entityclasses,Entity,New,Rager Inmate,,,,,
valZombieInmateBlack_Rager,entityclasses,Entity,New,Rager Inmate,,,,,
valZombieChildFemale_Rager,entityclasses,Entity,New,Rager Little Girl,,,,,
valZombieChildMale_Rager,entityclasses,Entity,New,Rager Little Boy,,,,,
valZombieRanger_Rager,entityclasses,Entity,New,Rager Ranger,,,,,
valZombieScorchedRusher_Rager,entityclasses,Entity,New,Rager Rusher,,,,,
gupZombieMartha_Rager,entityclasses,Entity,New,Rager Martha,,,,,
gupZombieSally_Rager,entityclasses,Entity,New,Rager Sally,,,,,
gupZombieSunStroked_Rager,entityclasses,Entity,New,Rager Sun Stroked,,,,,
sanZombiePunk_Rager,entityclasses,Entity,New,Rager Punk,,,,,
sanZombieRioter_Rager,entityclasses,Entity,New,Rager Rioter,,,,,
sanZombieRocker_Rager,entityclasses,Entity,New,Rager Rocker,,,,,
sanZombieFemaleRocker_Rager,entityclasses,Entity,New,Rager Rocker,,,,,
sanZombieHermit_Rager,entityclasses,Entity,New,Rager Hermit,,,,,
sanZombieFrank_Rager,entityclasses,Entity,New,Rager Frank,,,,,
sanZombieBikerChick_Rager,entityclasses,Entity,New,Rager Biker Babe,,,,,
sanZombieInfectedSurvivor_Rager,entityclasses,Entity,New,Rager Survivor,,,,,
sanZombieInfectedLady_Rager,entityclasses,Entity,New,Rager Lady,,,,,
sanZombieNude_Rager,entityclasses,Entity,New,Nude Rager,,,,,
sanZombiePrisoner_Rager,entityclasses,Entity,New,Rager Prisoner,,,,,
sanZombieDriver_Rager,entityclasses,Entity,New,Rager Driver,,,,,
sanZombieFiend_Rager,entityclasses,Entity,New,Rager Fiend,,,,,
sanZombieBanditSharpshooter_Rager,entityclasses,Entity,New,Rager Sharpshooter,,,,,
sanZombieHunterSven_Rager,entityclasses,Entity,New,Rager Sven,,,,,
sanZombiePsycho_Rager,entityclasses,Entity,New,Rager Psycho,,,,,
sanZombieKim_Rager,entityclasses,Entity,New,Rager Kim,,,,,
sanZombieVagrant_Rager,entityclasses,Entity,New,Rager Vagrant,,,,,
sanZombieBanditSavage_Rager,entityclasses,Entity,New,Rager Bandit,,,,,
sanZombieBanditSentry_Rager,entityclasses,Entity,New,Rager Bandit,,,,,
sanZombieMitchHazmat_Rager,entityclasses,Entity,New,Rager Mitch,,,,,
sanZombieMarkHazmat_Rager,entityclasses,Entity,New,Rager Mark,,,,,
sanZombieClaireHazmat_Rager,entityclasses,Entity,New,Rager Claire,,,,,
sanZombieSueHazmat_Rager,entityclasses,Entity,New,Rager Sue,,,,,
sanZombieOldLady_Rager,entityclasses,Entity,New,Rager Old Lady,,,,,
sanZombieOldMan_Rager,entityclasses,Entity,New,Rager Old Man,,,,,
sanZombieEvilGranny_Rager,entityclasses,Entity,New,Rager Granny,,,,,
sanZombieSecurityGuard_Rager,entityclasses,Entity,New,Rager Security Guard,,,,,
sanZombieFrozen_Rager,entityclasses,Entity,New,Rager Frozen,,,,,
badZombieJethro_Rager,entityclasses,Entity,New,Rager Jethro,,,,,
badZombieSeryph_Rager,entityclasses,Entity,New,Rager Seryph,,,,,
badZombieSeryphSnow_Rager,entityclasses,Entity,New,Rager Seryph,,,,,
valZombieBigBitch_Rager,entityclasses,Entity,New,Rager Big Bitch,,,,,
valZombieLumberjack_Rager,entityclasses,Entity,New,Rager Lumberjack,,,,,
valZombieTrucker_Rager,entityclasses,Entity,New,Rager Trucker,,,,,
valZombieCharred_Rager,entityclasses,Entity,New,Rager Charred,,,,,
sanZombieCpl_Rager,entityclasses,Entity,New,Rager Corporal,,,,,
sanZombieHunter_Rager,entityclasses,Entity,New,Rager Hunter,,,,,
sanZombieBanditKiller_Rager,entityclasses,Entity,New,Rager Bandit,,,,,
sanZombieBloodmoon_Rager,entityclasses,Entity,New,Rager Blood,,,,,
sanZombieCannibalFemale_Rager,entityclasses,Entity,New,Rager Cannibal,,,,,
sanZombieCannibalMale_Rager,entityclasses,Entity,New,Rager Cannibal,,,,,
sanZombieFreak_Rager,entityclasses,Entity,New,Rager Freak,,,,,
badZombieBolivar_Rager,entityclasses,Entity,New,Rager Bolivar,,,,,
badZombieCur_Rager,entityclasses,Entity,New,Rager Cur,,,,,
badZombieStripperMole_Rager,entityclasses,Entity,New,Rager Stripper Mole,,,,,
badZombieSWATMale_Rager,entityclasses,Entity,New,SWAT Rager,,,,,
badZombieSWATFemale_Rager,entityclasses,Entity,New,SWAT Rager,,,,,
valZombieRaveReaper_Rager,entityclasses,Entity,New,Rager Rave,,,,,
valZombieRegen_Rager,entityclasses,Entity,New,Rager Regen,,,,,
gupZombieBouncer_Rager,entityclasses,Entity,New,Rager Bouncer,,,,,
gupZombieSnowQueen_Rager,entityclasses,Entity,New,Rager Snow Queen,,,,,
sanZombieTrailerPark_Rager,entityclasses,Entity,New,Rager Redneck,,,,,
sanZombieBanditRaider_Rager,entityclasses,Entity,New,Rager Bandit,,,,,
sanZombieReaper_Rager,entityclasses,Entity,New,Rager Reaper,,,,,
sanZombieBanditLooter_Rager,entityclasses,Entity,New,Rager Bandit,,,,,
bkSanta_Rager,entityclasses,Entity,New,Rager Santa,,,,,
sanZombieBodyBuilder_Rager,entityclasses,Entity,New,Rager Body Builder,,,,,
sanZombieBanditJuggernaut_Rager,entityclasses,Entity,New,Rager Juggernaut,,,,,
sanZombieClown_Rager,entityclasses,Entity,New,Rager Clown,,,,,
badZombieBabyBoomer_Rager,entityclasses,Entity,New,Rager Baby Boomer,,,,,
valZombieRavagerSpider_Rager,entityclasses,Entity,New,Spider Rager Ravager,,,,,
gupZombieClimber_Rager,entityclasses,Entity,New,Rager Climber,,,,,
badZombieWarlord_Rager,entityclasses,Entity,New,Rager Warlord,,,,,
badZombieSuicideMole_Rager,entityclasses,Entity,New,Rager Suicide Mole,,,,,
gupZombieBiff_Rager,entityclasses,Entity,New,Rager Biff,,,,,
valZombieBrute_Rager,entityclasses,Entity,New,Rager Brute,,,,,
valZombieBruteBoss_Rager,entityclasses,Entity,New,Rager Brute Boss,,,,,
badZombieBoe_Rager,entityclasses,Entity,New,Rager Boe,,,,,
badZombieJoe_Rager,entityclasses,Entity,New,Rager Joe,,,,,
badZombieYo_Rager,entityclasses,Entity,New,Rager Yo,,,,,
badZombieSteve_Rager,entityclasses,Entity,New,Rager Steve,,,,,
badZombieArlene_Rager,entityclasses,Entity,New,Rager Arlene,,,,,
badZombieDarlene_Rager,entityclasses,Entity,New,Rager Darlene,,,,,
badZombieMarlene_Rager,entityclasses,Entity,New,Rager Marlene,,,,,
badZombieNurse_Rager,entityclasses,Entity,New,Rager Nurse,,,,,
badZombieMaleHazmat_Rager,entityclasses,Entity,New,Rager Hazmat,,,,,
badZombieUtilityWorker_Rager,entityclasses,Entity,New,Rager Utility Worker,,,,,
badZombieSkateboarder_Rager,entityclasses,Entity,New,Rager Skateboarder,,,,,
badZombieCheerleader_Rager,entityclasses,Entity,New,Rager Cheerleader,,,,,
badZombieOldTimer_Rager,entityclasses,Entity,New,Rager Old Timer,,,,,
badZombieMoe_Rager,entityclasses,Entity,New,Rager Moe,,,,,
badZombieSnow_Rager,entityclasses,Entity,New,Rager Lumberjack,,,,,
badZombieSpider_Rager,entityclasses,Entity,New,Rager Spider,,,,,
badZombieBurnt_Rager,entityclasses,Entity,New,Rager Burnt,,,,,
badZombieFarmer_Rager,entityclasses,Entity,New,Rager Farmer,,,,,
badZombieStripper_Rager,entityclasses,Entity,New,Rager Stripper,,,,,
badZombieSoldier_Rager,entityclasses,Entity,New,Rager Soldier,,,,,
badZombieBiker_Rager,entityclasses,Entity,New,Rager Biker,,,,,
khelldonStarterCrate,blocks,Container,New,Starting Gear: Break This Open,,,,,
khelldonStarterCrateDesc,blocks,Container,New,"Your Starting gear. Place on the ground and break to open.",,,,,
khelldonStarterCrateOpen,blocks,Container,New,Starting Gear: Open This,,,,,
khelldonSurvivalMachete,items,Melee,KgNone,Survival Machete,,,,,
khelldonSurvivalMacheteDesc,items,Melee,KgNone,Great for chopping zombie limbs off and gutting animals for meat.\nRepair with Forged Steel.,,,,,
khelldonMortar,items,Item,KgNone,Mortar,,,,,
khelldonMortarDesc,items,Item,KgNone,"Mortar is used in the construction of flagstone and cobblestone blocks ",,,,,
resourceNailBent,items,Item,KgNone,Bent Nails,,,,,
resourceNailBentDesc,items,Item,KgNone,"You have some bent nails, you can probably straighten them out.",,,,,
khelldonCrowbar,items,Tool,KgNone,Crowbar,,,,,
khelldonCrowbarDesc,items,Tool,KgNone,"Great for disassembling mechanical devices. Can take nails out of wooden blocks without damaging them. Can also be used to repair and upgrade walls.\nRepair with Forged Steel.",,,,,
khelldonRebarBolt,items,Ammo,EnChanged,Rebar Bolt (Ammo),,,,,
khelldonRebarBoltDesc,items,Ammo,KgNone,"Rebar Bolts are powerful but heavy, great at close ranges.",,,,,
khelldonRebarBoltHot,items,Ammo,EnChanged,Hot Rebar Bolt (Ammo),,,,,
khelldonRebarBoltHotDesc,items,Ammo,KgNone,"Hot Rebar bolts are the same as normal rebar bolts but light enemies on fire. How they stay hot and how you carry them is a mystery",,,,,
woodSawhorse,blocks,Block,New,Wooden Sawhorse,,,,,
woodSawhorseDesc,blocks,Block,New,"Use the Wooden Sawhorse to create frames and arrows on the go. Disposable Mini Workbench",,,,,
xuiSteamLoginReasonNotLoggedOn,XUi,Steam Login,New,You forgot to start steam first dumbass.,,,,,
khelldonHolyHandGrenade,items,Gun,EnChanged,The Holy Handgrenade of Antioch,,,,,
khelldonHolyHandGrenadeDesc,items,Gun,KgNone,"Bless this, O Lord, that with it thou mayst blow thine enemies to tiny bits, in thy mercy.",,,,,
khelldonBoxNails,items,Item,KgNone,Box of Nails,,,,,
khelldonBoxNailsDesc,items,Item,KgNone,"A regular box nails. Open it up (with recipe) to get some nails.",,,,,
casinoCoin,items,Item,KgNone,Loonie,,,,,
casinoCoinDesc,items,Item,KgNone,"A Loonie is Canada's one dollar coin. It's value varries.",,,,,
xuikhelldonCharacterSelect,UI,XUI,New,Character,,,,,
xuiQuit,UI,XUi MainMenu,New,Leave Canada,,,,,
khelldonTwoonie,items,Item,KgNone,Twoonie,,,,,
khelldon5dollars,items,Item,KgNone,5 dollar bill,,,,,
khelldon10dollars,items,Item,KgNone,10 dollar bill,,,,,
khelldon20dollars,items,Item,KgNone,20 dollar bill,,,,,
khelldon50dollars,items,Item,KgNone,50 dollar bill,,,,,
khelldon100dollars,items,Item,KgNone,100 dollar bill,,,,,
khelldonMoneyDesc,items,Item,KgNone,"You found some old money. You can probably trade this in at the trader for some loonies.",,,,,
khelldonIceAxe,items,Tool,New,Ice Axe,,,,,
khelldonIceAxeDesc,items,Tool,New,"An Ice Axe can be used to harvest resources and injure zombies or players.",,,,,
khelldonSledgehammer,items,Tool,New,Iron Sledgehammer,,,,,
khelldonSledgehammerDesc,items,Tool,New,"The sledgehammer is one of the best weapons for cracking skulls.\nRepair with Forged Iron.",,,,,
khelldonHatchet,items,Tool,New,Hatchet,,,,,
khelldonHatchetDesc,items,Tool,New,"A hatchet is a smaller one handed version of an axe.",,,,,
khelldonHatchetBloody,items,Tool,New,Hatchet,,,,,
khelldonHatchetBloodyDesc,items,Tool,New,"A hatchet is a smaller one handed version of an axe. This one is used and bloody",,,,,
khelldonBaseballBat,items,Melee,New,Baseball Bat,,,,,
khelldonBaseballBatDesc,items,Melee,New,"A standard baseball bat, probably belonged to a kid at one time.",,,,,
khelldonNightStick,items,Melee,New,Police Night Stick,,,,,
khelldonNightStickDesc,items,Melee,New,"A police night stick. Great for beating the heck out of some hippies... I mean zombies.",,,,,
boardedWindowsSheet_weak,blocks,Block,New,Boards,,,,,
boardedWindowsSheet_weakDesc,blocks,Block,New,"Use these to board up windows or doors. A great way to buy some time while looting.",,,,,
khelldonSnowBlock,blocks,Block,New,Snow Block,,,,,
khelldonSnowBlockDesc,blocks,Block,New,"Snow Blocks are used to build igloos. Upgrade with water to make ice blocks. Weak but easy to build and will provide shelter.",,,,,
khelldonIceBlock,blocks,Block,New,Ice Block,,,,,
khelldonIceBlockDesc,blocks,Block,New,"Ice Blocks.",,,,,
khelldonHockeyPuck,items,Ammo,EnChanged,Hockey Puck,,,,,
khelldonHockeyPuckDesc,items,Ammo,KgNone,"A hockey puck. You could probably load this into a crossbow.",,,,,
khelldonBackpack,blocks,Block,New,Backpack,,,,,
khelldonBackpackDesc,blocks,Block,New,A backpack to store stuff in.,,,,,
khelldonHockeyStick01,items,Melee,New,Hockey Stick,,,,,
khelldonHockeyStick01Desc,items,Melee,New,"A Hockey Stick made by Easton",,,,,
khelldonHockeyStick02,items,Melee,New,Hockey Stick,,,,,
khelldonHockeyStick02Desc,items,Melee,New,"A Hockey Stick made by Sherwood",,,,,
khelldonHockeyStick03,items,Melee,New,Hockey Stick,,,,,
khelldonHockeyStick03Desc,items,Melee,New,"A Hockey Stick made by Sherwood",,,,,
khelldonGoalieStick01,items,Melee,New,Canadian Goalie Stick,,,,,
khelldonGoalieStick01Desc,items,Melee,New,"A Goalies Hockey Stick made by Sherwood",,,,,
khelldonGoalieStick02,items,Melee,New,Goalie Stick,,,,,
khelldonGoalieStick02Desc,items,Melee,New,"A Goalies Hockey Stick made by Sherwood",,,,,
khelldonGoalieStick03,items,Melee,New,Goalie Stick,,,,,
khelldonGoalieStick03Desc,items,Melee,New,"A Goalies Hockey Stick made by Sherwood",,,,,
khelldonGoalieHelmet,items,Clothes,KgNone,Goalie Helmet,,,,,
khelldonGoalieHelmetDesc,items,Clothes,KgNone,"Get great concussive & puncture defense & you can cheer for your favorite team as if organized hockey still existed.\nRepair with Scrap Plastics.",,,,,
khelldonHockeySkates,items,Clothes,KgNone,Hockey Skates,,,,,
khelldonHockeySkatesDesc,items,Clothes,KgNone,"Hockey Skates don't do much for ice or snow but they offer some good protection against damage for to your feet.",,,,,
khelldonPoutine,items,Food,New,Poutine,,,,,
khelldonPoutineDesc,items,Food,New,"The great Canadian dish, poutine. Freanch fries, gravy and cheese. So good.",,,,,
khelldonCanadianBacon,items,Food,New,Canadian Bacon,,,,,
khelldonCanadianBaconDesc,items,Food,New,"It's not quite bacon and it's not quite ham... but dam it's good.",,,,,
khelldonPancakes,items,Food,New,Pancakes,,,,,
khelldonPancakesDesc,items,Food,New,"Pancakes with Maple syrup. Really sticks to the ribs",,,,,
khelldonBabybel,items,Food,New,Babybel Cheese,,,,,
khelldonBabybelDesc,items,Food,New,"Soft cheese wrapped in wax. Seems pretty good.",,,,,
