Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
brickTubeCenter,blocks,Block,New,Brick Tube 3m Center,,,,,
brickTubeCorner,blocks,Block,New,Brick Tube 3m Corner,,,,,
brickTunnelCenter,blocks,Block,New,Brick Tunnel 3m Center,,,,,
brickTunnelCorner,blocks,Block,New,Brick Tunnel 3m Corner,,,,,
brickWedge,blocks,Block,New,Brick Wedge,,,,,
brickWedgeCNRInsideBottom,blocks,Block,New,Brick Wedge Inside Corner Bottom,,Ziegel SchrÃ¤ge Innenecke Unten,,,
brickWedgeCNRInsideSteepBase,blocks,Block,New,Brick Wedge Steep Inside Corner Base,,,,,
brickWedgeCNRInsideSteepTop,blocks,Block,New,Brick Wedge Steep Inside Corner Top,,,,,
brickWedgeCNRInsideTop,blocks,Block,New,Brick Wedge Inside Corner Top,,Ziegel SchrÃ¤ge Innenecke Oben,,,
brickWedgeCNRSteepBase,blocks,Block,New,Brick Wedge Steep Corner Base,,,,,
brickWedgeCNRSteepTop,blocks,Block,New,Brick Wedge Steep Corner Top,,,,,
brickWedgeIncline,blocks,Block,New,Brick Wedge Incline,,Ziegel Dachvorsprung,,,
brickWedgeStairs,blocks,Block,New,Brick Wedge Stairs,,,,,
brickWedgeTip,blocks,Block,New,Brick Wedge Tip,,,,,
brickWedgeTipCNRFullBottom,blocks,Block,New,Brick Wedge Full Corner Bottom,,Ziegel SchrÃ¤genspitze Komplette Ecke Unten,,,
brickWedgeTipCNRFullTop,blocks,Block,New,Brick Wedge Full Corner Top,,Ziegel SchrÃ¤genspitze Komplette Ecke Oben,,,
brickWedgeTipStairs,blocks,Block,New,Brick Wedge Tip Stairs,,,,,
brickWindowArchTop,blocks,Block,New,brick Window Arch Top,,,,,
brickWindowCircle,blocks,Block,New,brick Window Circle,,,,,
brickWindowCircleCorner,blocks,Block,New,brick Window Circle Corner,,,,,
bridgeConcreteBlock,blocks,Block,KgNone,Bridge Concrete Block,Bloc de pont en bÃ©ton,BrÃ¼cke â€“ Betonblock,,Puente Bloque de hormigÃ³n,
bridgeMetalRivetBlock,blocks,Block,KgNone,Bridge Metal Rivet Block,Bloc de pont Ã  rivets mÃ©talliques,BrÃ¼cke â€“ Genieteter Metallblock,,Puente Bloque con remaches de metal,
bridgeWoodBlock,blocks,Block,KgNone,Bridge Wood Block,Bloc de pont en bois,BrÃ¼cke â€“ Holzblock,,Puente Bloque de madera,
buildingBlockGroupDesc,blocks,Block,New,A building block from the creative menu.,,,,,
bulletproofGlassGroupDesc,blocks,Block,New,Bulletproof Glass can be repaired but requires completely new blocks of the same type as repair material.,,Panzerglas kann repariert werden aber verbraucht dabei Scheiben des genau gleichen Typs.,,,
burningBarrel,blocks,Block,EnChanged,Burning Barrel (POI),Baril en feu,Brennendes Fass (POI),,Barril en llamas,
burningBarrelDesc,blocks,Block,New,The burning barrel is an essential prop in every post-apocalyptic setting.,,,,,
burningBarrelPlayer,blocks,Block,KgNone,Burning Barrel,Baril en feu,Brennendes Fass,,Barril en llamas,
burntWoodBlock1,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 1,Bardage en bois blanc brÃ»lÃ© 1,Verkohltes Holz â€“ Block 1,,Panel de madera blanco para revestimiento quemado 1,
burntWoodBlock2,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 2,Bardage en bois blanc brÃ»lÃ© 2,Verkohltes Holz â€“ Block 2,,Panel de madera blanco para revestimiento quemado 2,
burntWoodBlock3,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 3,Bardage en bois blanc brÃ»lÃ© 3,Verkohltes Holz â€“ Block 3,,Panel de madera blanco para revestimiento quemado 3,
burntWoodBlock4,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 4,Bardage en bois blanc brÃ»lÃ© 4,Verkohltes Holz â€“ Block 4,,Panel de madera blanco para revestimiento quemado 4,
burntWoodBlock5,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 5,Bardage en bois blanc brÃ»lÃ© 5,Verkohltes Holz â€“ Block 5,,Panel de madera blanco para revestimiento quemado 5,
burntWoodBlock6,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 6,Bardage en bois blanc brÃ»lÃ© 6,Verkohltes Holz â€“ Block 6,,Panel de madera blanco para revestimiento quemado 6,
burntWoodRamp7,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Ramp 7,Bardage en bois blanc brÃ»lÃ© 7,Verkohltes Holz â€“ Rampe 7,,Panel de madera blanco para revestimiento quemado 7,
burntWoodWedge7,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Wedge 7,Bardage en bois blanc brÃ»lÃ© 7,Verkohltes Holz â€“ SchrÃ¤ge 7,,Panel de madera blanco para revestimiento quemado 7,
cable1,blocks,Block,KgNone,Cable1,CÃ¢ble 1,Kabel 1,,Cable 1,
candleTableLight,blocks,Block,EnChanged KgNone,Candle Table (POI),Bougie,Kerze Freistehend (POI),,Vela,
candleTableLightPlayer,blocks,Block,New,Candle Table,Bougie,Kerze Freistehend,,Vela,
candleWallLight,blocks,Block,EnChanged KgNone,Candle Wall (POI),Bougie,Kerze mit Wandhalterung (POI),,Vela,
candleWallLightPlayer,blocks,Block,New,Candle Wall,Bougie,Kerze mit Wandhalterung,,Vela,
carsRandomHelper,blocks,Block,KgNone,= Cars = Random Helper,Voitures alÃ©atoires,ZufÃ¤llige Autos,,Coches al azar,
carsRandomHelperDesc,blocks,Block,New,"Will randomly spawn (mostly) undamaged, (rare) damaged, (very rare) car wreck",,,,,
ceilingFanLight,blocks,Block,New,Ceiling Fan Light (POI),,,,,
ceilingLight01,blocks,Block,EnChanged,Simple Light (POI),Luminaire de plafond 01,Deckenlampe 01 (POI),,LÃ¡mpara de techo 01,
ceilingLight02,blocks,Block,EnChanged,Silver Dome Light (POI),Luminaire de plafond 02,Deckenlampe 02 (POI),,LÃ¡mpara de techo 02,
ceilingLight02Brass,blocks,Block,EnChanged,Brass Dome Light (POI),Luminaire de plafond 02 en laiton,Deckenlampe 02 â€“ Messing (POI),,LÃ¡mpara de techo de latÃ³n 02,
ceilingLight04,blocks,Block,EnChanged,Warehouse Ceiling Light (POI),Luminaire de plafond 04,Deckenlampe 04 (POI),,LÃ¡mpara de techo 04,
ceilingLight05,blocks,Block,EnChanged,Silver Glass Light (POI),Luminaire de plafond 05,Deckenlampe 05 (POI),,LÃ¡mpara de techo 05,
ceilingLight05Brass,blocks,Block,EnChanged,Brass Glass Light (POI),Luminaire de plafond 05 en laiton,Deckenlampe 05 â€“ Messing (POI),,LÃ¡mpara de techo de latÃ³n 05,
ceilingLight07,blocks,Block,EnChanged,Fluorescent Light (POI),Luminaire de plafond 07,Deckenlampe 07 (POI),,LÃ¡mpara de techo 07,
chainLink,blocks,Block,GrChanged,Chain Link,Grillage,Maschendrahtzaun,,EslabÃ³n,
chainLinkCornerBottom,blocks,Block,GrChanged,Chain Link Corner Bottom,Angle infÃ©rieur de grillage,Maschendrahtzaun â€“ Untere Ecke,,EslabÃ³n inferior de esquina,
chainLinkCornerTop,blocks,Block,GrChanged,Chain Link Corner Top,Angle supÃ©rieur de grillage,Maschendrahtzaun â€“ Obere Ecke,,EslabÃ³n superior de esquina,
chainLinkFenceBottomPole,blocks,Block,GrChanged,Chain Link Fence Bottom Pole,Pied de poteau de grillage,Maschendrahtzaun â€“ Unterer Zaunpfahl,,Poste de eslabÃ³n inferior de valla,
chainLinkFenceTop,blocks,Block,GrChanged,Chain Link Fence Top,Sommet de grillage,Maschendrahtzaun â€“ Oberer Zaun,,EslabÃ³n superior de valla,
chainLinkFenceTopPole,blocks,Block,GrChanged,Chain Link Fence Top Pole,Sommet de poteau de grillage,Maschendrahtzaun â€“ Oberer Zaunpfosten,,Poste de eslabÃ³n superior de valla,
chainLinkFenceTopPole2,blocks,Block,GrChanged,Chain Link Fence Top Pole 2,Sommet de poteau de grillage 2,Maschendrahtzaun â€“ Oberer Zaunpfosten 2,,Poste de eslabÃ³n superior de valla 2,
chainLinkPole,blocks,Block,GrChanged,Chain Link Pole,Poteau de grillage,Maschendrahtzaun â€“ Pfosten,,Poste de eslabÃ³n,
chairCouchSofa01,blocks,Block,KeyChanged EnChanged GrChanged,Sofa Chair 01,Chaise 01,Ledersessel 01,,Silla 01,
medicalPileSmall,blocks,Block,New,Small Medical Pile,,,,,
medicalPileMedium,blocks,Block,New,Medium Medical Pile,,,,,
medicalPileLarge,blocks,Block,New,Large Medical Pile,,,,,
medicalPileRandomHelper,blocks,Block,New,= Medical Pile = Random Helper,,,,,
medicalPileRandomHelperDesc,blocks,Block,New,Will spawn a random chem set table deco.,,,,,
cinderBlocks01,blocks,Block,KgNone,Cinder Blocks01,Parpaings 01,Porenbetonsteine 01,,Bloques de cemento 01,
cinderBlocks02,blocks,Block,KgNone,Cinder Blocks02,Parpaings 02,Porenbetonsteine 02,,Bloques de cemento 02,
cinderBlocks03,blocks,Block,KgNone,Cinder Blocks03,Parpaings 03,Porenbetonsteine 03,,Bloques de cemento 03,
cntBagsRandomLootHelper,blocks,Block,New,= Bag / Backpack = Random Helper,,,,,
cntBagsRandomLootHelperDesc,blocks,Block,New,"Will randomly spawn bags, backpacks, and purses (50%), small trash (25%) or nothing (25%).",,,,,
cntBathTubEmpty,blocks,Block,New,Empty Bath Tub,,,,,
cntBathTubGore,blocks,Block,New,Bath Tub... filled,,,,,
cntBathTubsRandomLootHelper,blocks,Block,New,= Bath Tubs = Random Helper,,,,,
cntBathTubsRandomLootHelperDesc,blocks,Block,New,Will randomly spawn empty (often) and gore-filled (rare) bath tubs.,,,,,
cntBookcaseEmpty,blocks,Block,New,Empty Bookcase,,,,,
cntBusCity,blocks,Block,New,City Bus,,,,,
cntBusSchool,blocks,Block,New,School Bus,,,,,
cntBusSchoolShort,blocks,Block,New,Short School Bus,,,,,
cntBusShuttle,blocks,Block,New,Shuttle Bus,,,,,
cntCashRegisterEmpty,blocks,Block,KgNone,Cash Register Empty,Caisse enregistreuse vide,Registrierkasse leer,,Caja registradora vacÃ­a,
cntCashRegisterRandomLootHelper,blocks,Block,New,= Cash Registers = Random Helper,,,,,
cntCashRegisterRandomLootHelperDesc,blocks,Block,New,Will randomly spawn empty (often) and lootable (rare) cash registers.,,,,,
cntFridgeStainlessSteelRandomLootHelper,blocks,Block,New,= S Steel Fridge = Random Helper,,,,,
cntFridgeStainlessSteelRandomLootHelperDesc,blocks,Block,New,Will randomly spawn (65%) open and (35%) closed and lootable fridges.,,,,,
cntMedicLootPileA,blocks,Block,New,Medical Supplies,,,,,
cntMedicLootPileB,blocks,Block,New,Medical Supplies,,,,,
cntMicrowaveOvenRandomLootHelper,blocks,Block,New,= Microwave Oven = Random Helper,,,,,
cntMicrowaveOvenRandomLootHelperDesc,blocks,Block,New,Will randomly spawn (65%) open and (35%) closed and lootable microwaves.,,,,,
cntMicrowaveOvenVer1Open,blocks,Block,New,"Microwave, Open",,,,,
cntPillCaseClosed,blocks,Block,New,Medical Cabinet,,,,,
cntPillCaseEmpty,blocks,Block,New,Medical Cabinet Empty,,,,,
cntPillCaseRandomLootHelper,blocks,Block,New,= Medical Cabinet = Random Helper,,,,,
cntPillCaseRandomLootHelperDesc,blocks,Block,New,Will randomly spawn (65%) open and (35%) closed and lootable versions.,,,,,
cntQuestLootBox,blocks,Block,New,Wilson's Loot Box,,,,,
cntRetroFridgeRandomLootHelper,blocks,Block,New,= Retro Fridge = Random Helper,,,,,
cntRetroFridgeRandomLootHelperDesc,blocks,Block,New,Will randomly spawn (65%) open and (35%) closed and lootable fridges.,,,,,
cobblestoneArch,blocks,Block,New,Cobblestone Arch 2m,,,,,
cobblestoneArrowSlitHalf,blocks,Block,New,Cobblestone Arrow Slit,,,,,
cobblestoneBlock,blocks,Block,KgNone,Cobblestone Block,Bloc de pavÃ©s,Pflastersteinblock,,Bloque de adoquines,
cobblestoneCNRFull,blocks,Block,New,Cobblestone Full Corner,,,,,
cobblestoneCNRInside,blocks,Block,New,Cobblestone Inside Corner,,,,,
cobblestoneCNRRamp,blocks,Block,New,Cobblestone CNR Ramp,,,,,
cobblestoneCNRRampFiller,blocks,Block,New,Cobblestone Ramp Corner Filler,,Pflasterstein â€“ Rampenecke FÃ¼ller,,,
cobblestoneCTRpole,blocks,Block,New,cobblestone Pole Centered,,,,,
cobblestoneGableInvertedHalf,blocks,Block,New,Cobblestone Gable Inverted Half,,,,,
cobblestoneGableInvertedQuarter,blocks,Block,New,Cobblestone Gable Inverted Quarter,,,,,
cobblestoneGableInvertedSteep,blocks,Block,New,Cobblestone Gable Inverted Steep,,,,,
cobblestoneGableQuarter,blocks,Block,New,Cobblestone Gable Quarter,,,,,
cobblestoneGroupDesc,blocks,Block,New,You get Cobblestone by upgrading Flagstone blocks. One of the strongest blocks you can build early on.,,,,,
cobblestoneHalf,blocks,Block,New,cobblestone 1/2 Block,,,,,
cobblestonePillar100,blocks,Block,New,Cobblestone Pillar 100,,,,,
cobblestonePillar50,blocks,Block,New,Cobblestone Pillar 50,,,,,
cobblestonePlate,blocks,Block,New,Cobblestone Plate,,,,,
cobblestonePlateOffset,blocks,Block,New,Cobblestone Plate Offset,,,,,
cobblestonePole,blocks,Block,New,Cobblestone Pole,,,,,
cobblestonePyramid,blocks,Block,New,Cobblestone Pyramid,,,,,
cobblestoneQuarterCNR,blocks,Block,New,Cobblestone 1/4 Corner,,,,,
cobblestoneQuarterCNR3Way,blocks,Block,New,Cobblestone 1/4 Corner 3Way,,,,,
cobblestoneQuarterSCtr,blocks,Block,New,Cobblestone 1/4 SCtr,,,,,
cobblestoneQuarterTeeSCtr,blocks,Block,New,Cobblestone 1/4 T SCtr,,,,,
cobblestoneRamp,blocks,Block,KgNone,Cobblestone Ramp,Rampe en pavÃ©s,Pflastersteinrampe,,Rampa de adoquines,
cobblestoneStairs25,blocks,Block,KgNone,Cobblestone Stairs,Escaliers en pavÃ©s,Pflastersteinstufen,,Escaleras de adoquines,
cobblestoneStairs25CornerCNR,blocks,Block,New,Cobblestone Stairs Corner,,Pflasterstein Stufenecke,,,
cobblestoneStairs25Desc,blocks,Block,KgNone,Can be upgraded to concrete.,Ils peuvent Ã©galement Ãªtre amÃ©liorÃ©s pour obtenir des escaliers en bÃ©ton.,Aufwertung zu Beton mÃ¶glich.,,Se puede mejorar a hormigÃ³n.,
cobblestoneWedge,blocks,Block,New,Cobblestone Wedge,,,,,
cobblestoneWedgeCNRInsideBottom,blocks,Block,New,Cobblestone Wedge Inside Corner Bottom,,Pflasterstein SchrÃ¤ge Innenecke Unten,,,
cobblestoneWedgeCNRInsideSteepBase,blocks,Block,New,Cobblestone Wedge Steep Inside Corner Base,,,,,
cobblestoneWedgeCNRInsideSteepTop,blocks,Block,New,Cobblestone Wedge Steep Inside Corner Top,,,,,
cobblestoneWedgeCNRInsideTop,blocks,Block,New,Cobblestone Wedge Inside Corner Top,,Pflasterstein SchrÃ¤ge Innenecke Oben,,,
cobblestoneWedgeCNRSteepBase,blocks,Block,New,Cobblestone Wedge Steep Corner Base,,,,,
cobblestoneWedgeCNRSteepTop,blocks,Block,New,Cobblestone Wedge Steep Corner Top,,,,,
cobblestoneWedgeIncline,blocks,Block,New,Cobblestone Wedge Incline,,,,,
cobblestoneWedgeStairs,blocks,Block,New,Cobblestone Wedge Stairs,,,,,
cobblestoneWedgeTip,blocks,Block,New,Cobblestone Wedge Tip,,,,,
cobblestoneWedgeTipCNRFullBottom,blocks,Block,New,Cobblestone Wedge Full Corner Bottom,,Pflasterstein SchrÃ¤genspitze Komplette Ecke Unten,,,
cobblestoneWedgeTipCNRFullTop,blocks,Block,New,Cobblestone Wedge Full Corner Top,,Pflasterstein SchrÃ¤genspitze Komplette Ecke Oben,,,
cobblestoneWedgeTipStairs,blocks,Block,New,Cobblestone Wedge Tip Stairs,,,,,
cobweb,blocks,Block,KgNone,Cobweb,Toile d'araignÃ©e,Spinnennetz,,TelaraÃ±a,
cobwebDesc,blocks,Block,KgNone,A cobweb made by a spider. If this was Marvel it might mean something.,"La toile d'une araignÃ©e. Chez Marvel, Ã§a aurait peut-Ãªtre voulu dire quelque chose.","Das Netz einer Spinne. Wenn das hier Marvel wÃ¤re, dann kÃ¶nnte das auch etwas bedeuten.",,Una telaraÃ±a hecha por una araÃ±a. Si esto fuera Marvel podrÃ­a significar algo.,
coffeeTable,blocks,Block,New,Coffee Table,,,,,
commercialBlindsBottom,blocks,Block,New,Commercial Blinds Bottom,,,,,
commercialBlindsTop,blocks,Block,New,Commercial Blinds Top,,,,,
commercialDoor1_v1,blocks,Block,KgNone,Commercial Door 1,Porte de commerceÂ 1,IndustrietÃ¼r 1,,Puerta comercial 1,
commercialDoor1_v2,blocks,Block,KgNone,Commercial Door 1 v2,Porte de commerce 1 v2,IndustrietÃ¼r 1 v2,,Puerta comercial 1 v2,
commercialDoor1_v3,blocks,Block,KgNone,Commercial Door 1 v3,Porte de commerce 1 v3,IndustrietÃ¼r 1 v3,,Puerta comercial 1 v3,
commercialDoor2_v1,blocks,Block,KgNone,Commercial Door 2,Porte de commerceÂ 2,IndustrietÃ¼r 2,,Puerta comercial 2,
commercialDoor2_v2,blocks,Block,KgNone,Commercial Door 2 v2,Porte de commerce 2 v2,IndustrietÃ¼r 2 v2,,Puerta comercial 2 v2,
commercialDoor2_v3,blocks,Block,KgNone,Commercial Door 2 v3,Porte de commerce 2 v3,IndustrietÃ¼r 2 v3,,Puerta comercial 2 v3,
commercialDoor4_v1,blocks,Block,KgNone,Commercial Door 4,Porte de commerceÂ 4,IndustrietÃ¼r 4,,Puerta comercial 4,
commercialDoor4_v2,blocks,Block,KgNone,Commercial Door 4 v2,Porte de commerce 4 v2,IndustrietÃ¼r 4 v2,,Puerta comercial 4 v2,
commercialDoor4_v3,blocks,Block,KgNone,Commercial Door 4 v3,Porte de commerce 4 v3,IndustrietÃ¼r 4 v3,,Puerta comercial 4 v3,
concreteArch,blocks,Block,New,Concrete Arch 2m,,,,,
concreteArrowSlitHalf,blocks,Block,New,Concrete Arrow Slit,,,,,
concreteBarrier1,blocks,Block,New,Concrete Barrier 1,,,,,
concreteBarrier2,blocks,Block,New,Concrete Barrier 2,,,,,
concreteBarrier3,blocks,Block,New,Concrete Barrier 3,,,,,
